Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -52) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -56) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -61) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  3C:71:BF:99:F9:E0 ('Channel', 4) ('RSSI', -53) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:D9:B0 ('Channel', 4) ('RSSI', -57) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
Data:  24:0A:C4:23:C1:EC ('Channel', 4) ('RSSI', -60) ('MAC', 'B8:63:4D:A2:0E:13') ('Header', '48')
